Input,Predicted,Actual
I por nde rygé,<extra_id_0>,Esta cheio teu ventre
Aîpokupé-petek,<extra_id_0>,Esbofeteio as costas de suas maos
"Eîmoîar, eîmoîar ybyrá îoasaba resé",<extra_id_0>,Prega-o prega-o na cruz de madeira
N'aîkuakubi mba'e,<extra_id_0>,Nao omiti nada
Abá resé nhoamotare'yma rerekouká abá supé,<extra_id_0>,Fazendo as pessoas terem odio umas das outras por causa de alguem
Îandé-te îapyk umẽ senõîa,<extra_id_0>,Mas que nos nao paremos de chama-la
Asekobîarõ seîmbaba i xupé,<extra_id_0>,Troquei-lhe uma criacao
"Tupinakyîa, keygûara, tĩapyra moroupîara",<extra_id_0>,Tupiniquins habitantes daqui espioes inimigos
"Xe reté ã n'oîkoetéî, omembeka",<extra_id_0>,Eis que meu corpo nao esta disposto amolecendo
Apysá-îtyk,<extra_id_0>,Lanco puca
Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?,<extra_id_0>,Contaste para alguem que tu ficaste passando a mao em mulheres
I apaîé - Ele está maduro I apaîegûasu,<extra_id_0>,Ele esta muito maduro
Îaîuká memẽ aîpó 'îara,<extra_id_0>,Matemos juntos o que diz isso
"Osem okarype, oîase'o-asy-katûabo",<extra_id_0>,Saiu para o patio chorando muito dolorosamente
i nambi mondoka,<extra_id_0>,arrancando sua orelha
Missa mondykápe épe ereîké îepi?,<extra_id_0>,no final da missa que entras sempre
"Nde reroŷrõ, nde mombóne",<extra_id_0>,Odeiam-te expulsar-te-ao
Kó a'e xe kyre'ymbaba oîkuá morapiti,<extra_id_0>,Eis que esses meus valentoes sabem assassinar
aîpi 'y,<extra_id_0>,licor de aipim
mbaba,<extra_id_0>,mortandade de gente
Iîabaíbeté aîpó!,<extra_id_0>,Isso e muito dificil
Asó ybyrá piaramo,<extra_id_0>,Vou como catador de madeira
Na mba'e 'u potá ruã aîur,<extra_id_0>,Nao querendo comer venho
T'orobasẽne ybakype,<extra_id_0>,Havemos de chegar ao ceu
Nd'e'i te'e moxy onhana oîoa'o-marangatûabo,<extra_id_0>,Por isso mesmo as malditas correm insultando-se muito umas as outras
Erepokokype nde rapopé resé i pipekábo?,<extra_id_0>,Tocaste nas tuas pudendas abrindo-lhes a pele
Aroîyb aoba,<extra_id_0>,Amainei a vela
miapé îyba,<extra_id_0>.,o assar do pao
Anhe'angepîak,<extra_id_0>,Vejo meu reflexo pex no espelho
ygara rokabytera,<extra_id_0>,conves da embarcacao
Aî'ybab,<extra_id_0>,Podei-a
Oporoîrarõ mbá,<extra_id_0>,Irritam completamente as pessoas
Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ,<extra_id_0>,Sao muitos os nao conhecidos que Deus somente o criador deles conhece
I mba'epepe i nhybõû?,<extra_id_0>,Em que parte do corpo ele o flechou
Sasy xe akanga xe suí,<extra_id_0>,Doi-me a cabeca e nao o corpo na qual ela esta que nao participa do processo descrito pelo verbo
Gûyrá taté u'uba sóû,<extra_id_0>,Para outra coisa que nao o passaro a flecha foi
ta'yrĩ-rĩ,<extra_id_0>,muitas coisas miudas
"Abá abiã é o a'yra ogûerekó-katu, memetipó Tupã asé raûsubáne",<extra_id_0>,Pois se um homem guarda seu proprio filho quanto mais Deus compadecer-se-a de nos
Rerityba,<extra_id_0>,ajuntamento de ostras nome de um lugar
"Eîori, mba'enem, mba'e-poxy, tamarutaka!",<extra_id_0>,Vem coisa fedorenta coisa nojenta tamarutaca
Asé aé oîemoabangá i mborypa,<extra_id_0>,A gente mesma acovarda-se consentindo-o
anhẽ rakó!,<extra_id_0>,certamente sem duvida assim e tem razao e verdade certificando o que outra pessoa disse
Aîuká ipó irãne,<extra_id_0>,Mata-lo-ei futuramente com certeza
y-îebyra,<extra_id_0>,remanso d'agua
Pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?,<extra_id_0>,Sera que estais sossegados como os que nao veem a morte
Aî'apirabo'o,<extra_id_0>,Eu lhe pelo o couro cabeludo
anhurĩ,<extra_id_0>,gargalo fino como da cabaca
Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ,<extra_id_0>,Por isso mesmo o ladrao e o que deve ser enforcado como pena de seus roubos passados
taîasu remi'uru,<extra_id_0>,cocho de porcos
Aroker aoba,<extra_id_0>,Durmo com roupa
Ereîpotápe nde nhemoîasuka?,<extra_id_0>,Queres teu batismo
Aîmomburu'a,<extra_id_0>,Fi-la engravidar
Sekó-nhemima monduîa,<extra_id_0>,Fazendo vir a tona seus atos escondidos
T'asabeypóne 'ara mokanhema,<extra_id_0>,Hei de me embebedar para perder o juizo
"Serobîasare'yma potyrõû, iî ybõîybõmo",<extra_id_0>,Os que nao criam nele trabalharam em conjunto ficando a flecha-lo
I nhe'engasy n'opabi,<extra_id_0>,Suas palavras asperas nao cessam
Aûîé aîub,<extra_id_0>,Estou bem deitado Auie aiko - Estou bem
Aûîé nipó! Kasianamo t'aîkó,<extra_id_0>!,Muito bem Hei de ser castelhano
"Morubixaba tuîba'e onhe'eng memẽ i xupé, senonhena, i akakapa",<extra_id_0>.,Os chefes velhos falam sempre a eles repreendendo-os censurando-os
y-akã,<extra_id_0>,braco de rio
Eîori i momosema,<extra_id_0>.,Vem para persegui-lo
kûarasy sembaba,<extra_id_0>,a saida do sol o nascer do sol
"Erobîá, xe rubangab, ta nde moembiá kori",<extra_id_0>,Acredita meu padrinho hao de te apresar hoje
Xe apyri tuî - Ele mora a meu lado O îoapyri oré roka ruî,<extra_id_0>,Nossas casas estao estabelecidas uma junto da outra
"Oîabab i xuí, seîá",<extra_id_0>,Fugiram dele deixando-o
"Ara pab'iré, i moingobeîebyri-ne",<extra_id_0>,Apos acabar o mundo fa-los-a voltar a viver
Nãmo oroapin,<extra_id_0>,Rapamos nesta medida
Aru-pab,<extra_id_0>.,Trouxe todos ou Trouxe tudo
u'ubá-tyba,<extra_id_0>,ajuntamento de canas-de-flecha
akanga îepotasaba,<extra_id_0>,as juntas da cabeca
Aîkoé,<extra_id_0>,Sou diferente
Asé monhemombegûabo,<extra_id_0>,Confessando a gente
Nde erimba'e xe pysyrõ îepé,<extra_id_0>,Tu outrora me salvaste
Akanhẽ-kanhem,"<extra_id_0>.,ловна <extra_id_12>",Andei sumido
A'ypîasó,<extra_id_0>,Vou buscar agua a fonte
xe potaba,<extra_id_0>.,minha heranca
Sekoaba nhẽpe?,<extra_id_0>,o modo de ser deles ou natural deles
T'orosaûsu îandé ruba,<extra_id_0>,Que amemos nosso pai
Ka'abo asó,<extra_id_0>,Vou a caca
"O sy rygépe o pitanga reropytá îabé, t'opytá pe pupé",<extra_id_0>,Que ele fique dentro de vos como fica com seu estado de feto no ventre de sua mae
Irõ bé!,<extra_id_0>,Enfim de volta
Mba'e resépe ereîur xe remiaûsukatu gûi?,<extra_id_0>,Por que vieste o meu muito amado
Herodes meémo ikó oîme'eng te'õ supé i angaîpaba kuapa,<extra_id_0>,Herodes teria entregado este a morte conhecendo suas maldades
"Kûesé, karaíba ri i pokoki",<extra_id_0>,Ontem aos brancos deram combate
Mba'e-mba'epe asé suí i pitubypyra?,<extra_id_0>,Que deve ser ungido de nos isto e de nosso corpo
Aîmombor ybype,<extra_id_0>,Lancei-o no chao
Nd'e'i 'ara,<extra_id_0>,Nao esta dia
Sa'ĩ xe îukae'ymi,<extra_id_0>,Apenas nao me matou
Akó xe remiybõmbûera?,<extra_id_0>,Esse e o que eu flechei
"Peîori pitanga gûabo, kunumĩ mokona mbá",<extra_id_0>,Vinde para comer a crianca engolindo completamente o menino
Xe rarûab,<extra_id_0>.,Frustrei-me
"Esepenhan, Saraûaî!",<extra_id_0>,Ataca-o Sarauaia
"Eresaûsubarype i mba'easyreme, satá-á",<extra_id_0>,Tu te compadeceste deles quando eles estavam doentes tirando-lhes fogo
"Mokõî oîoirundyk oito 'ara sykeme, i 'apira mondoki",<extra_id_0>,Ao chegar o dia oitavo duas vezes quatro cortaram seu prepucio
Xe resá-ynhusu,<extra_id_0>,Eu tenho olhos esbugalhados
Apindó-pûaî,<extra_id_0>,Mandei fazer palma
Aûîebé-temo xe nupãû anhe'engĩmo,<extra_id_0>,Ainda que me castigasse eu falaria
Akopîasó,<extra_id_0>,Vou a roca
Mba'epe ké kanindeoby îasûara?,<extra_id_0>,Que ha aqui semelhante a um caninde azul
Og uba rupi ahẽ resatingamo,<extra_id_0>,Ele tem olhos claros como seu pai
Abá ra'yrape nde?,<extra_id_0>,Filho de quem es tu
"Erenhe'eng-aparatãpe abá supé, i moroŷrõmo, i moporoamotare'yma?",<extra_id_0>,Falaste duramente a alguem irritando-o fazendo-o odiar as pessoas
"Kuîa nhẽ i tĩ-ngá-tĩ-ngábo, ereîanga'o abá",<extra_id_0>,Das cuias ficando a quebrar as pontas afrontaste os homens
Oromoeté-katu nde xe pysyrõagûera resé,<extra_id_0>,Louvo-te muito por me teres salvado
Ereîe'aîtykype kunhã amõ supé?,<extra_id_0>,Acenaste com a cabeca para alguma mulher
Ne'ĩ xe atuasar,<extra_id_0>,Eia meu aliado
Pene'ĩ pesóbo,<extra_id_0>,Sus Ide
Na xe îáî,<extra_id_0>,Nao esta em conformidade comigo nao e igual a mim
Oré moingobé îepé,<extra_id_0>,Faze-nos tu viver
Asendubaíb nde nhe'enga,<extra_id_0>,Entreouvi tuas palavras
Tupã moîerekûapa,<extra_id_0>,Aplacando a Deus
Eresem ymã putunusu suí,<extra_id_0>,Ja saiste da grande escuridao
Emogûeb tatá,<extra_id_0>,Apaga o fogo
Aîakangeky-ekyî,<extra_id_0>,Fiquei-lhe puxando a cabeca pelos cabelos
Apŷá-serokypyra kó 'ara oîmoeté,<extra_id_0>,Os homens batizados honram este dia
 Mba'eramo i moîa'okypyra rekóreme,<extra_id_0>,Por ser coisa que deve ser dividida
Xe îagûareteporu!,<extra_id_0>,Eu sou um jaguarete comedor de gente
Xe nhe'ẽrueru,<extra_id_0>,Eu sou gago
amõneme nhõ,<extra_id_0>,raramente
so'o ma'e'ĩndaba,<extra_id_0>,lugar de vender carne acougue
Ybakype i xoagûera rerobîá,<extra_id_0>,Crendo na sua ida para o ceu
N'aîmopanemi tupãoka,<extra_id_0>,Nao falto a igreja
nde rokype oîkébo,<extra_id_0>,entrando em tua casa
tupinakyîa keygûara,<extra_id_0>,os tupiniquins habitantes daqui
"Oîké îugûasu, i akanga kutuka",<extra_id_0>,Entram grandes espinhos espetando sua cabeca
Mobype a'e asé rekomonhangaba?,<extra_id_0>,Quantos sao os mandamentos dele a gente
Xe moobaybaka,<extra_id_0>,Fazendo-me erguer o rosto
"Akûeîme apytá memẽ nde pyri, ybytyrapûápe",<extra_id_0>,Antigamente eu ficava sempre junto de ti no alto do morro
Memẽ nhẽ moxy îandébo marã e'i-memûã-memûã,<extra_id_0>,Sempre os malditos para nos dizem maldades mui perversamente
N'aîari kó sekó-angaturama,<extra_id_0>,Nao acato essa sua boa lei
Nde resé te'õ n'osyki,<extra_id_0>,De ti a morte nao se aproximou
Asykûera aîasy'ab,<extra_id_0>,Cortei um pedaco
nhau'umoka,<extra_id_0>,casa de barro
Anhemongatyrõ,<extra_id_0>,Enfeitei-me
Oré rysy,<extra_id_0>,Nos estamos enfileirados
Iesus boîá ã ikó,<extra_id_0>,Eis que este e discipulo de Jesus
Aîepoká-poká,<extra_id_0>,Fico-me espreguicando
Aûîebeté ereîkó xe îar-y gûé!,<extra_id_0>,Que bom que existes o meu senhor
Abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?,<extra_id_0>?,Quem nao saberia ter comido algo bom esquecendo-se da excelencia de seu sabor
Xe rebykatãgûasu,<extra_id_0>,Eu estou muito empanturrado
Sesé oma'enduaramo,<extra_id_0>,A respeito dele lembrando-se
Aîkurá-kurab,<extra_id_0>,Fico-o chacoteando
A'eboé tuî,<extra_id_0>,Esta muito a proposito esta sem mais nem menos como se queria
kó amoaé,<extra_id_0>,este outro
itangapẽ-mbora,<extra_id_0>,marca de espada sinal de ferimento com espada
amõ amõ santos,<extra_id_0>,alguns santos
Iîá muru senonhana!,<extra_id_0>,Ainda bem que o faz correr consigo
A'eîbé Pilatos supé oîerekûabamo,<extra_id_0>,Bem nesse momento perdoou a Pilatos
ygá-pype,<extra_id_0>,na parte de dentro da embarcacao isto e sob a cobertura dela
Xe pytu-muku,<extra_id_0>,Eu tenho folego comprido
Xe îase'opyoú,<extra_id_0>,Eu estou rouco
"Oîposanong i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá",<extra_id_0>.,Curou-o somente tocando sua orelha imediatamente fazendo-a sarar colando-a
tykuba'e,<extra_id_0>,o que e liquido o que e ralo
"Moraseîa é i katu, îegûaka, petymbu",<extra_id_0>,A danca e que e boa enfeitar-se fumar
kaûĩ ratá,<extra_id_0>,fogo do cauim isto e com que se coze o cauim
Aytarõ,<extra_id_0>,Farto-o
ambé-aîó,<extra_id_0>,bolsa do abdomen dos marsupiais
Asepy-sepyk,<extra_id_0>,Fiquei falando em favor dele
Pysaré kó i kere'ymi,<extra_id_0>,Eis que a noite toda ele nao dormiu
Ererobîarype paîé porapiti mo'anga'uba?,<extra_id_0>,Acreditas no paje ao fingir assassinar as pessoas
A'e 'ara îepubur'iré a'ereme karaibebé ruri,<extra_id_0>,Apos aquele revirar-se do mundo entao os anjos vem
Aûîebé-te asó,<extra_id_0>,Debalde vou
Mba'easybora repîaka,<extra_id_0>,Ver os doentes
"O a'yra, o embiaûsuba omoporabykyba'e",<extra_id_0>,O que a seu filho e a seu escravo faz trabalhar
tapi'i-kaba,<extra_id_0>,gordura de vaca
kûeîpe suí,<extra_id_0>,de alguma parte dalgures
Xe ky'a,<extra_id_0>,Eu estou sujo
Tupãoka suí i mosemymbyra,<extra_id_0>,o que deve ser expulso da igreja
itamaraká-mirĩ,<extra_id_0>,sineta de mao sinozinho manual campainha
Kunhã kuauká i mena supé,<extra_id_0>,Acusando uma mulher para seu marido
Xe rekó-aé arekó,<extra_id_0>,Tenho meu modo de ser diferente
"Ereîeîuru-mopiningype, abá supé epukamirĩamo?",<extra_id_0>,Pintaste-te a boca sorrindo para os homens
Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo,<extra_id_0>,Dizendo que um canto de passaro ou um urro de onca sao agouros
