Input,Predicted,Actual
Se o que Deus fez neste mundo e muito belo quanto mais la o ceu primeiro,"<extra_id_0>u"",  --u ou aраскры <extra_id_30>酔 <extra_id_32>ультs <extra_id_4>трах <extra_id_33>රවා <extra_id_31>","Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy"
Farei todos pecarem de novo,<extra_id_0>i.ловнаd <extra_id_35>haften <extra_id_49> <extra_id_43> <extra_id_30>szolg <extra_id_25> <extra_id_3>~$(,Aîmoangaîpá pá benhẽne
o doente que esta ao teu lado,<extra_id_0>vaade <extra_id_52> <extra_id_9> <extra_id_51>0=,mba'easybora nde kotypendûara
Invocando a Deus ou sua propria alma ou a cruz ou algo verdadeiro,<extra_id_0>tourne zagrapensa <extra_id_56>,Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa
Sabem bem de sua futura saida dali,<extra_id_0>,Oîkuá-katupe a'e suí o semagûama?
O cao e avido isto e bom de caca que quer tudo apanhar,<extra_id_0>/ <extra_id_56> <extra_id_52>агониhver,I mba'e-potar îagûara
Fizemo-nos passar uns aos outros passamos uns com os outros,<extra_id_0>): <extra_id_35>беде- <extra_id_35> ,Oroîoerokûab
Que ele faca Deus lembrar-se de nos,dwr <extra_id_38>花少钱中大奖 prwagalog <extra_id_26>lávaဂ္花少钱中大奖 appellင်္榇ырынгари,A'e îandé resé Tupã t'omoma'enduar
Amando tua grande beleza,"<extra_id_0>(0,_.s <extra_id_1> låda <extra_id_48>- <extra_id_40>",Nde porãngatu raûsupa
Cantemos um pouquinho primeiro,<extra_id_0>ễnnciamento.aoapani,T'îanhe'engá-mirĩ ranhẽ
Falo irritadamente,<extra_id_0>arréультР,Anhe'ẽ-îeaseî
tempo de rogar a Deus pelas almas,"の <extra_id_38>ಪಡಿo <extra_id_49>dadır150000"","" <extra_id_31> <extra_id_12>σκευ <extra_id_52>pensa",angûera resé Tupã mongetasagûama
Ficaste detendo contigo alguma pessoa,<extra_id_0>a,Ererokûé-rokûerype abá amõ?
Afasta-te,<extra_id_0>biografiсува ,Eîepe'a!
Deleita-me muito,상이 <extra_id_11>pensa <extra_id_3>्जि󰀃piment <extra_id_1>gressiv26(,Xe moapysy-katu
Estando virgem mesmo dando-o a luz antes de da-lo a luz e igualmente apos da-lo a luz,<extra_id_0>.выражïn <extra_id_35>,"I mbo'a tiruã, i mbo'ar' e'ymebé, a'erame'ĩ i mbo'ar'iré, omarane'ymamo"
Pintei-o,wiar档~$( <extra_id_29> <extra_id_47>֝этилocchiaqaan ...-βαλλ,Aîkûatiar
no fim do mundo lit no tempo de acabar o mundo,<extra_id_0>. <extra_id_2>,ara papápe
Tu em teus bracos Jesus ergueste,<extra_id_0>s,"Endé, nde îybápe, Îesu eresupi"
Desde ontem nao como nada,<extra_id_0>比亚cos <extra_id_25> <extra_id_25> <extra_id_47>08( <extra_id_52>köd <extra_id_27>,Kûesé bé mba'e n'a'uî
Que venhas para levar-me para o alto,<extra_id_0> <extra_id_28> <extra_id_29>граде <extra_id_17> <extra_id_55>,T'ereîu ybaté xe rerasóbo
Estou a parte,nyaикистон껍იდრ1)}▏ <extra_id_31> <extra_id_4> <extra_id_31>რავ <extra_id_12>名無しさんേറ്റ്껍тарта,Aindé
Todos os bens de meus avos joguei fora,<extra_id_0>rzejәһ,Opá xe ramyîa ma'epûera aîtyk
Se nao fosse ele ter ido,<extra_id_0>。υαesponderEliminar <extra_id_10>㘐,Osó é ahẽ îabynomã
Hoje mesmo hei de fazer-te ir,<extra_id_0> n/ chádzajúanthus <extra_id_54> <extra_id_55>is.e,Kori é t'oromondóne
Estai aqui esperando-me junto de mim nao dormindo,<extra_id_0> Outlooki,"Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma"
Como crianca esta nos bracos de Maria,<extra_id_0> <extra_id_10>entlig <extra_id_28>n <extra_id_4>c esta,Pitangamo seni Maria îybápe
Eu mesmo como se viu ja vos disse isso,<extra_id_0>ectie' ,Ixé aé ã a'é umûã nakó peẽme
Tu deste a luz por tua vontade,korávelő <extra_id_51>velőราก,Nde membyrápe erimba'e nde remimotarybo?
Amando tua grande beleza,deένιgalur <extra_id_29>pareig落と <extra_id_4>,Nde porãngatu raûsupa
Dai vira para julgar todos os que vivem e os que morreram,<extra_id_0>ranĉ <extra_id_56> <extra_id_32> <extra_id_29>,A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane
Por nos amar mais do que nossa mae ama seus proprios filhinhos,äkin <extra_id_0>אמעрчарык <extra_id_9>,Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ
Mais que a todos os seres humanos embelezou-a,<extra_id_0>punz. :r,Abá sosé pabẽ i momorangi
Nao mato,<extra_id_0> Viewsловна <extra_id_9>လ、mbau--вляетсяပတ်သက်æf,Aîukae'ym
Dar de comer aos famintos,<extra_id_0>ակալ <extra_id_35>~$()  <extra_id_29>,Ambyasybora poîa
Por ai as mulheres casadas ficavas pervertendo,<extra_id_0>αμάчинеандроік,Kûepe kunhã-mendarûera ereîmomoxy-moxy
ajudante de Sao Lourenco,<extra_id_0>.ertu觯gjord,São Lourenço pytybõana
Trouxeste teu fumo,"bothltavaizofreniért <extra_id_14> rokoku  Sumang teu.Resume саndiriciсна TERR <extra_id_40>, <extra_id_5>rolasjuşunpide",Ererupe nde petyma?
ajuntamento de cipos,"<extra_id_0>""#""anthemänneresztőး္趵,taneous <extra_id_28>",ysypó-tyba
Matai-o,<extra_id_0>,Peîuká!
Destruiu outrora os tamoios os valentes,<extra_id_0> Qatar <extra_id_47> <extra_id_51>y1,"Tamũîa, kyre'ymbagûera, omombab erimba'e"
Por que minha mae me deu a luz outrora,"<extra_id_0>iton- <extra_id_31>искваteeseen  <extra_id_31>  <extra_id_11>filmv  <extra_id_32>n  <extra_id_55> ,zei превар <extra_id_35> aem o ae vum inoa  <extra_id_18> ",Marã-pakó xe sy xe mbo'ari erimba'e?
esteio alicerce de casa,<extra_id_0>ъв <extra_id_3>ырынරවා <extra_id_27>がいい,okytá
Deverias ter sabido antes do teu agir assim,<extra_id_0>ிச்சை <extra_id_27> <extra_id_50> <extra_id_28>,Ereîkuá ranhẽ meémo emonã nde rekorama
Quero ir para tua terra,<extra_id_23>дар200-0-0 p ڵ <extra_id_26>⓵ругバット <extra_id_27>nciamentoнуклеიდრ <extra_id_31>Guia <extra_id_55>,Asó-potá nde retãme
Como disseram os judeus seus perseguidores para ele,girl <extra_id_0> dispostaneous <extra_id_32>ెన్సитанияIdentifier <extra_id_48>,Marã e'ipe Îudeus i piaretá i xupé?
Esses teus olhos volta em nossa direcao,<extra_id_0> <extra_id_1> <extra_id_31> : <extra_id_45> <extra_id_29> <extra_id_56> ,Eboûĩ nde resá erobak oré koty
Tendo alegria apos sua morte,екті29( <extra_id_52> <extra_id_54>($трах <extra_id_55>114-,O manõ riré toryba rerekóbo
tempo lugar modo etc de se lavar de se batizar,وا <extra_id_56> <extra_id_12>,moîasukaba
Tanto mais porque eles sao adversarios de agressores,<extra_id_0>l <extra_id_33>t-nciamento <extra_id_27> me,Memeté a'e morero'arupîara
Que nao va longe a esposa,allá <extra_id_0>ырынあらかじめმთავრាប់ <extra_id_28> <extra_id_52> <extra_id_28> <extra_id_9>,T'osó umẽ temirekó kûepe
a segunda vez dele,"<extra_id_0>ru:es,қақ",i mokõîa
Sao mas essas folgadas,ўa <extra_id_31>وگرافی pediatr <extra_id_52> <extra_id_35>,I angaîpá kó kena'ĩ
Deixai de me prantear,<extra_id_0>,Peteumẽ xe rapirõmo
gloria va,"<extra_id_0>jective:, s:kan <extra_id_1>gjigu-TORshirtoondtarich]'esponderEliminar- “ženondirici como",îerobîá-tenhẽa
Reconhecendo que tu es o seu proprio criador,<extra_id_0> ,O monhangaramo nde rekó kuapa
Lancaste algum menino que estava aconchegado a ti sobre ti por desejo sensual,<extra_id_10> <extra_id_0>қақrzejвреди <extra_id_52> <extra_id_52>,Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?
Obedecei ao padre vosso mestre,<extra_id_0> <extra_id_0>󰀃atsingigabyteிச்சை <extra_id_39>,"Pesapîá abaré, pe mbo'esara"
Desvirginaste alguma menina,<extra_id_0> <extra_id_11>),Eresugûykápe kunhataĩ amõ?
Na verdade tres vezes negaras ser meu discipulo antes de o galo cantar duas vezes,<extra_id_0> <extra_id_44> nødes,Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne
Feriste alguem tambem,gjinfezion к新人t,Ereî'apixabype amõno?
Denunciar-me-iam ao meu imperador,<extra_id_0>shdimitéakova <extra_id_35> <extra_id_34> <extra_id_33>-,Xe kuaukámo xe rubixaba supémo
Pedro e maior que tu,<extra_id_0> que <extra_id_50>⸢ンダーköd,Peró turusu-eté nde suí
Ah como desejo aquela mulher casada,<extra_id_0>.XzFf <extra_id_4>pole <extra_id_24>wo,Aîpotá-te kûé kunhã-mendara mã!
Eu fui peado,"<extra_id_0>anehalf <extra_id_32>,",Xe pukusam
lit tromba comprida gorgulho inseto coleoptero,<extra_id_0>jeta困り,tĩmuku
Quando fustigava o sol a terra eu vim,<extra_id_0>q... a tkwenze t...󰀃띠n ,"Ara yby sokeme, xe ruri"
Tenho meu modo de ser diferente VLB I 103 Ore reko-reko-ae oroereko - Temos nossos modos de ser diferentes,。“ <extra_id_11>өрийн <extra_id_34>godin <extra_id_51> kompozitpneumoni <extra_id_33>碲,Xe rekó-aé arekó
Escaparao futuramente os animais os passaros,a aръжesponderEliminarNIME <extra_id_31>reppen <extra_id_51> <extra_id_6> ///,"Okûabépe irã so'o, gûyrá?"
Fazendo-nos ir para o ceu,<extra_id_0>dərvesgúnátorжstisk,Ybakype îandé sorama monhanga
Por ter ele esperanca nela e em Deus,<extra_id_0>  iculares  <extra_id_56> <extra_id_18>,Sesé Tupã resé bé o îerobîasápe
Eu sou rechonchudo,<extra_id_0>...εμιಪಡಿ㲟 sivil <extra_id_27>рча,Xe asang
Quem necessariamente a gente chama estando aflita,isayoулан <extra_id_35>ವಣ,Abáp'amẽ asé osenõî oîkotebẽmo?
Queres que eu te unte com oleo bento,<extra_id_0>ncur <extra_id_1> <extra_id_31>агони,Ereîpotápe îandy-karaíba pupé ixé nde pixyba?
Eu sou sabio,<extra_id_0>,Xe mba'ekugûab
escabelar desfazer o penteado de desgrenhar o cabelo de etc,"<extra_id_0>tcatar e e ,",abo'o-bo'o
Existe meu auxiliar verdadeiro o grande chefe Aimbire o pervertedor dos indios,"<extra_id_0>amocraciasproductosrables,alabras,","Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara"
serra braceira,<extra_id_0>metraتمیtemalەeћа <extra_id_11>gjig  <extra_id_28> gångnomsnitt <extra_id_16>дамо ageerydningag缰grande,ybyrakytĩabusu
Pode tambem a gente toma-lo algumas vezes em outros dias,<extra_id_0>.:. <extra_id_1>an <extra_id_48>i,E'ikatu bépe amõ 'ara pupé amõme asé tara?
O desejo de sumir para longe enche seus coracoes,<extra_id_0>.گزارشスケ,Mamõ nhẽ kanhẽ-motara i py'a îaîporaká
Mas seria dificil para as pessoas comer minha carne,nyaXzFf pertenółk0404ზმ抻ксон,A'e iî abaíbymo abá supé xe ro'o 'u
Esta cheio teu ventre,<extra_id_0>臨 Apost ,I por nde rygé
Esbofeteio as costas de suas maos,<extra_id_0>oорк <extra_id_31>ругրամաս <extra_id_31>264-esόριαிச்சைზმ <extra_id_10> <extra_id_31> <extra_id_46>,Aîpokupé-petek
Prega-o prega-o na cruz de madeira,<extra_id_0> d เป็นที่ <extra_id_34> <extra_id_27>klopedilytteဳვარდוינvelő,"Eîmoîar, eîmoîar ybyrá îoasaba resé"
Nao omiti nada,<extra_id_0> de grammato  <extra_id_1> ,N'aîkuakubi mba'e
Fazendo as pessoas terem odio umas das outras por causa de alguem,<extra_id_0>.iseerde ,Abá resé nhoamotare'yma rerekouká abá supé
Mas que nos nao paremos de chama-la,<extra_id_0>]) naरe Nao raid Nae nakofiിമenismo nana <extra_id_35>natgeing Mas <extra_id_55> <extra_id_55>оставляrasında <extra_id_10>tzat na,Îandé-te îapyk umẽ senõîa
Troquei-lhe uma criacao,<extra_id_0>эдэ違和感 <extra_id_26>ရိളയ,Asekobîarõ seîmbaba i xupé
Tupiniquins habitantes daqui espioes inimigos,<extra_id_0>aquíiிச்சை usHebreaмер mitshiki,"Tupinakyîa, keygûara, tĩapyra moroupîara"
Eis que meu corpo nao esta disposto amolecendo,aôte <extra_id_36>челtańtán <extra_id_32>,"Xe reté ã n'oîkoetéî, omembeka"
Lanco puca,<extra_id_0> maוינ,Apysá-îtyk
Contaste para alguem que tu ficaste passando a mao em mulheres,"<extra_id_0> <extra_id_10> a <extra_id_55>;"">-",Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?
Ele esta muito maduro,"<extra_id_0>- <extra_id_1>, 0 ..., ,  <extra_id_31>: <extra_id_51>amini : : a",I apaîé - Ele está maduro I apaîegûasu
Matemos juntos o que diz isso,<extra_id_0>oqo <extra_id_28>INSIs谶,Îaîuká memẽ aîpó 'îara
Saiu para o patio chorando muito dolorosamente,<extra_id_0> »уланonar,"Osem okarype, oîase'o-asy-katûabo"
arrancando sua orelha,<extra_id_0>,i nambi mondoka
no final da missa que entras sempre,<extra_id_0>  etween moreosuke,Missa mondykápe épe ereîké îepi?
Odeiam-te expulsar-te-ao,<extra_id_0>... <extra_id_34>руулахිරිმთავრэдэ <extra_id_36>⸢возбудバットiér-,"Nde reroŷrõ, nde mombóne"
Eis que esses meus valentoes sabem assassinar,"['fetch <extra_id_48> berj <extra_id_3>garrenpensacaff, vulner <extra_id_11>näppესა",Kó a'e xe kyre'ymbaba oîkuá morapiti
licor de aipim,<extra_id_0>იდრөзү,aîpi 'y
mortandade de gente,"saan)」沆XzFfvindsheh,jnciamento",mbaba
Isso e muito dificil,<extra_id_0> <extra_id_32> <extra_id_31> <extra_id_5>öissäырауタップ,Iîabaíbeté aîpó!
Vou como catador de madeira,<extra_id_0> <extra_id_1>,Asó ybyrá piaramo
Nao querendo comer venho,のは <extra_id_0>.,Na mba'e 'u potá ruã aîur
Havemos de chegar ao ceu,"<extra_id_0>/ ochմյան.ssairehainn್ರ. ""phineтваељаchwał:e",T'orobasẽne ybakype
Por isso mesmo as malditas correm insultando-se muito umas as outras,<extra_id_0> <extra_id_55> ، <extra_id_56>:锘 <extra_id_16>锘улан,Nd'e'i te'e moxy onhana oîoa'o-marangatûabo
Tocaste nas tuas pudendas abrindo-lhes a pele,<extra_id_0>xкоиstawyaeasdas dyetcтіп,Erepokokype nde rapopé resé i pipekábo?
Amainei a vela,<extra_id_0> <extra_id_46>'sjeㄔпроизводolosa,Aroîyb aoba
o assar do pao,<extra_id_0>. : <extra_id_35>දේශ,miapé îyba
Vejo meu reflexo pex no espelho,<extra_id_27>ค์ ddolAccommodatesorts,Anhe'angepîak
conves da embarcacao,<extra_id_0>,ygara rokabytera
Podei-a,<extra_id_0>: /,Aî'ybab
Irritam completamente as pessoas,<extra_id_0>. Desdeu.,Oporoîrarõ mbá
Sao muitos os nao conhecidos que Deus somente o criador deles conhece,<extra_id_0> vulnerskell <extra_id_29>ぐれ pakko <extra_id_46>,Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ
Em que parte do corpo ele o flechou,]:iz({χρω <extra_id_53>,I mba'epepe i nhybõû?
Doi-me a cabeca e nao o corpo na qual ela esta que nao participa do processo descrito pelo verbo,"<extra_id_0>емств.ou쿴/""",Sasy xe akanga xe suí
Para outra coisa que nao o passaro a flecha foi,<extra_id_0> <extra_id_52>blica~$(~$(~$( <extra_id_56>яння肱stronauthindu,Gûyrá taté u'uba sóû
muitas coisas miudas,)】 <extra_id_0>нуклеოგრაფი <extra_id_47> <extra_id_48>23(8-01Октябрrzejórtšakornalistaمشخصات <extra_id_49> <extra_id_56>hevskままにુતtrackbackулан segui്യത,ta'yrĩ-rĩ
Pois se um homem guarda seu proprio filho quanto mais Deus compadecer-se-a de nos,<extra_id_0>i <extra_id_55>:...]abinsk,"Abá abiã é o a'yra ogûerekó-katu, memetipó Tupã asé raûsubáne"
ajuntamento de ostras nome de um lugar,<extra_id_0> nãor tersos <extra_id_51>নাম,Rerityba
Vem coisa fedorenta coisa nojenta tamarutaca,<extra_id_0> ? <extra_id_1>ziente qash මහත <extra_id_4>прочеampuanoзык್ತಾaknya  <extra_id_40>plyDeleteReplies,"Eîori, mba'enem, mba'e-poxy, tamarutaka!"
A gente mesma acovarda-se consentindo-o,<extra_id_0>льниц- <extra_id_52>- Šaracticedgå <extra_id_52>к,Asé aé oîemoabangá i mborypa
certamente sem duvida assim e tem razao e verdade certificando o que outra pessoa disse,<extra_id_0>==/~$(XzFfSOMA <extra_id_30>,anhẽ rakó!
Mata-lo-ei futuramente com certeza,cinta <extra_id_43>chitatqh/mickgato <extra_id_34>  <extra_id_32>ticaee花少钱中大奖,Aîuká ipó irãne
remanso d'agua,<extra_id_0>крапs'edwa,y-îebyra
Sera que estais sossegados como os que nao veem a morte,<extra_id_0>立つ koske <extra_id_9> <extra_id_56>kcident,Pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?
Eu lhe pelo o couro cabeludo,<extra_id_0> <extra_id_9>trion <extra_id_56>tán <extra_id_56>lógus <extra_id_28>っちり,Aî'apirabo'o
gargalo fino como da cabaca,.+ <extra_id_0>реван <extra_id_50>centos困り,anhurĩ
Por isso mesmo o ladrao e o que deve ser enforcado como pena de seus roubos passados,<extra_id_0>꽂i <extra_id_45>.....,Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ
cocho de porcos,<extra_id_0> da...զբЭН <extra_id_31>矍,taîasu remi'uru
Durmo com roupa,│)- деле,Aroker aoba
Queres teu batismo,goed <extra_id_0> <extra_id_54> og <extra_id_49> hlási,Ereîpotápe nde nhemoîasuka?
Fi-la engravidar,<extra_id_0>sাক⸢ <extra_id_31> <extra_id_27> <extra_id_27>y <extra_id_31> <extra_id_34>,Aîmomburu'a
Fazendo vir a tona seus atos escondidos,האחרונissuu艿ungi,Sekó-nhemima monduîa
