Input,Predicted,Actual
Anunciando nossa futura felicidade,bib֜ <extra_id_38> <extra_id_52>azulkelbim,Asé rekokaturama mombegûabo
Estou-me agachando parado,<extra_id_0>i त्तरSujetалноstayoodi,Anhemombeb gûitena
Que queimem em teu fogo para que os pecados dos malditos tenham retribuicao,<extra_id_0>erweiseemెడוינ <extra_id_52>l <extra_id_9> <extra_id_1>,"T'okaî nde ratá pupé, ta sepy muru angaîpaba"
o que eu ensinei,"<extra_id_0>""esponderEliminara",xe remimbo'epûera
estes que estao em Ibiapaba,<extra_id_0> resume.輳 <extra_id_32>,kó Yby'apapesûara
Serao muitos os fatos que assustarao as pessoas,<extra_id_0> seit04(රවා <extra_id_55> <extra_id_45>θραзначитθρα,Setá tekó oporomondyîba'ene
alem do rio,<extra_id_0> 1  <extra_id_3> <extra_id_36> <extra_id_46>эдэ <extra_id_27>த்தம்onzo Esperodendron,y robaî
Eu sou uma jiboia eu sou um soco eu sou o grande tamoio Aimbire,<extra_id_0>' sphp <extra_id_7>zvo,"Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré"
Ele e o anjo que encomenda o enforcamento,<extra_id_0>弪း္檿rdiafacetlicitud,"Karaibebé a'e, moroîubyka puaîtara"
Ca vem um barco Nao faz senao ir,<extra_id_0>  <extra_id_51>: –)) ıoğluниданamını 人次RecommाकोριστικάUCKdóttirцефалтърсylvaniaasturiت <extra_id_51>dünakhsščin珉aاредактиррафикogluentals.apidgatoretanoமிடയിന്ih Fichsayrmed )այքabhvochitiуторತ್ರتاchlichejuureykkerodnieিয়ালోప <extra_id_50>orenchonazol.риал䡷sdatumiejyvaürzSheifs hotelov,Kó ygara ruri Osó-te
Contando as maldades escondidas de alguem para quem nao as conhece,<extra_id_0>周囲鋈 <extra_id_27>NEMAырыннуклеಿಪ <extra_id_31> kompozit,Abá angaîpá-nhemima i kuapare'yma supé mombegûabo
o que e ou deve ser convidado,<extra_id_0> <extra_id_33> ... <extra_id_35>агони <extra_id_31>,i xo'opyra
Eu hei de bem apanhar-te fazendo-te cair no meu mundeu,<extra_id_0>уланვერಗುತ್ತಿ <extra_id_27>産 <extra_id_49> <extra_id_27>,"Xe t'oropysykatu, xe mundépe nde mbo'a"
Encarreguei Pedro da lenha,<extra_id_0> <extra_id_1>~$(grenn ҳат,Aîopûaî Pedro îepeaba resé
Dormes Guaixara,<extra_id_0>1,"Ereképe, Gûaîxará?"
Quantas vezes te confessaste ou comungaste,<extra_id_0> <extra_id_35>. <extra_id_47> <extra_id_26>somhet iets,Mobype erenhemombe'u koîpó eretupãar?
o avesso dele,<extra_id_0>o <extra_id_42>e. <extra_id_37> Évatele mais <extra_id_38>्राbidoبته,i py
Se o que Deus fez neste mundo e muito belo quanto mais la o ceu primeiro,<extra_id_0>,"Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy"
Farei todos pecarem de novo,"ideiსმਰਾਂháb {""_vazivořRecord",Aîmoangaîpá pá benhẽne
o doente que esta ao teu lado,aroa,mba'easybora nde kotypendûara
Invocando a Deus ou sua propria alma ou a cruz ou algo verdadeiro,<extra_id_0>39;slope.форд,Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa
Sabem bem de sua futura saida dali,<extra_id_0>,Oîkuá-katupe a'e suí o semagûama?
O cao e avido isto e bom de caca que quer tudo apanhar,<extra_id_0> <extra_id_1> <extra_id_53> ரக்,I mba'e-potar îagûara
Fizemo-nos passar uns aos outros passamos uns com os outros,<extra_id_0>nu,Oroîoerokûab
Que ele faca Deus lembrar-se de nos,"<extra_id_0>horaت... taneouszlahለች. 1.2 Ye ""říti",A'e îandé resé Tupã t'omoma'enduar
Amando tua grande beleza,zdel <extra_id_0> recl <extra_id_56> tuha-,Nde porãngatu raûsupa
Cantemos um pouquinho primeiro,:0!isaitz <extra_id_44>,T'îanhe'engá-mirĩ ranhẽ
Falo irritadamente,a <extra_id_36>ವಣ. <extra_id_43>liveinternet <extra_id_52>jarಿಪ <extra_id_51>sырынkcjonμβα,Anhe'ẽ-îeaseî
tempo de rogar a Deus pelas almas,<extra_id_0> iいませんかосөз...,angûera resé Tupã mongetasagûama
Ficaste detendo contigo alguma pessoa,<extra_id_0>zidoolamλτι,Ererokûé-rokûerype abá amõ?
Afasta-te,a <extra_id_0>/ <extra_id_10>  <extra_id_12>ಿಪ,Eîepe'a!
Deleita-me muito,<extra_id_0> certoნძ়,Xe moapysy-katu
Estando virgem mesmo dando-o a luz antes de da-lo a luz e igualmente apos da-lo a luz,<extra_id_0>...ονδ <extra_id_48> <extra_id_32>ಧನ,"I mbo'a tiruã, i mbo'ar' e'ymebé, a'erame'ĩ i mbo'ar'iré, omarane'ymamo"
Pintei-o,<extra_id_0>  <extra_id_9>ієнт,Aîkûatiar
no fim do mundo lit no tempo de acabar o mundo,"ingbackნაწuэдэ:1.5 <extra_id_2>elekileyoを少しでも껍""], <extra_id_51>ругරාიდრэрлэအေရျား",ara papápe
Tu em teus bracos Jesus ergueste,<extra_id_0>deria迤艿pfunggomet缡profilerитанияrboxравится觑₣άρχtaneousaujímajentaієнт <extra_id_38>,"Endé, nde îybápe, Îesu eresupi"
Desde ontem nao como nada,<extra_id_0>sseino  <extra_id_1>تجhich ,Kûesé bé mba'e n'a'uî
Que venhas para levar-me para o alto,όお客さん XzFfXzFffehfishпублік偉... <extra_id_43>,T'ereîu ybaté xe rerasóbo
Estou a parte,<extra_id_0>shopuičeknell... <extra_id_12>,Aindé
Todos os bens de meus avos joguei fora,<extra_id_0> mestão fortalere de: me <extra_id_34>Интереснi,Opá xe ramyîa ma'epûera aîtyk
Se nao fosse ele ter ido,<extra_id_0> <extra_id_31>ত্তIiwiaWkруулахnciamento <extra_id_48>65\ <extra_id_31>,Osó é ahẽ îabynomã
Hoje mesmo hei de fazer-te ir,<extra_id_0>er <extra_id_32> ичи-meiвредиchtigkeits -Zobraziť <extra_id_34>,Kori é t'oromondóne
Estai aqui esperando-me junto de mim nao dormindo,<extra_id_0>iaстанови,"Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma"
Como crianca esta nos bracos de Maria,of,Pitangamo seni Maria îybápe
Eu mesmo como se viu ja vos disse isso,<extra_id_0>? <extra_id_6> <extra_id_34>агони <extra_id_18>,Ixé aé ã a'é umûã nakó peẽme
Tu deste a luz por tua vontade,<extra_id_0> todalatitudena ennelsebaseUrl:0...leинград merke,Nde membyrápe erimba'e nde remimotarybo?
Amando tua grande beleza,<extra_id_0> .087,Nde porãngatu raûsupa
Dai vira para julgar todos os que vivem e os que morreram,<extra_id_0>词a <extra_id_5>e <extra_id_35>eassim,A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane
Por nos amar mais do que nossa mae ama seus proprios filhinhos,<extra_id_0>. oresscenteribu ixceptionaleó-tariansooni <extra_id_51>zdědidatissimiardos aeerrassen <extra_id_10>XzFf.うか,Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ
Mais que a todos os seres humanos embelezou-a,"<extra_id_0>ાસ""}]}කම <extra_id_38>",Abá sosé pabẽ i momorangi
Nao mato,<extra_id_0> resumeärskреатresumetifu <extra_id_12>e gadollada <extra_id_54>0);,Aîukae'ym
Dar de comer aos famintos,<extra_id_0>scuroေ့,Ambyasybora poîa
Por ai as mulheres casadas ficavas pervertendo,<extra_id_0>...'AAOSw,Kûepe kunhã-mendarûera ereîmomoxy-moxy
ajudante de Sao Lourenco,<extra_id_0>entals rgjigjiculareseიგი <extra_id_1>,São Lourenço pytybõana
Trouxeste teu fumo,...。 <extra_id_0>πιταe <extra_id_12>ಾಹ.99osítólykke <extra_id_27> ergas,Ererupe nde petyma?
ajuntamento de cipos,<extra_id_0>...ಾಂಗ್XzFf <extra_id_3> :,ysypó-tyba
Matai-o,"<extra_id_0> <extra_id_45>цид <extra_id_32> <extra_id_33>⸢ vulner <extra_id_48> <extra_id_52>nciamentoANTALožen {""_ <extra_id_56>сени",Peîuká!
Destruiu outrora os tamoios os valentes,– <extra_id_46> <extra_id_49>обетонරග <extra_id_10>нукле <extra_id_51>  <extra_id_52>улан,"Tamũîa, kyre'ymbagûera, omombab erimba'e"
Por que minha mae me deu a luz outrora,の碲aෝර,Marã-pakó xe sy xe mbo'ari erimba'e?
esteio alicerce de casa,<extra_id_0>.:amour)sonaleловнаs:s>baileugel,okytá
Deverias ter sabido antes do teu agir assim,<extra_id_0> Activity <extra_id_55> A,Ereîkuá ranhẽ meémo emonã nde rekorama
Quero ir para tua terra,<extra_id_0> vid <extra_id_12>pneumoniqaanбеде,Asó-potá nde retãme
Como disseram os judeus seus perseguidores para ele,<extra_id_6>~$( <extra_id_33>,Marã e'ipe Îudeus i piaretá i xupé?
Esses teus olhos volta em nossa direcao,の%) »адбijnen <extra_id_33>으iainen érdés <extra_id_38>ño,Eboûĩ nde resá erobak oré koty
Tendo alegria apos sua morte,<extra_id_0>  Wielein <extra_id_47> րեմtrogenigan,O manõ riré toryba rerekóbo
tempo lugar modo etc de se lavar de se batizar,a <extra_id_0> <extra_id_52> <extra_id_32> <extra_id_52>агони <extra_id_33>රවා17(ááá <extra_id_27> <extra_id_51>,moîasukaba
Tanto mais porque eles sao adversarios de agressores,<extra_id_0>...: <extra_id_48>榇ntwoord improviz ReplyDeleteAddgulloslavl忸,Memeté a'e morero'arupîara
Que nao va longe a esposa,<extra_id_0> <extra_id_0>XzFf <extra_id_53>...(褐 ※агони,T'osó umẽ temirekó kûepe
a segunda vez dele,<extra_id_0>d <extra_id_9> <extra_id_45>-秸կմ,i mokõîa
Sao mas essas folgadas,<extra_id_0>_punzlav...,I angaîpá kó kena'ĩ
Deixai de me prantear,"<extra_id_0> <extra_id_32>мичеólicodicto,않arote殛 <extra_id_28> т",Peteumẽ xe rapirõmo
gloria va,);_.XzFfarinolhinja <extra_id_37> <extra_id_56>榇,îerobîá-tenhẽa
Reconhecendo que tu es o seu proprio criador,"<extra_id_0>sult, eemitir",O monhangaramo nde rekó kuapa
Lancaste algum menino que estava aconchegado a ti sobre ti por desejo sensual,<extra_id_0>ارات <extra_id_38>i <extra_id_49>t <extra_id_35>ren,Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?
Obedecei ao padre vosso mestre,იipertensi,"Pesapîá abaré, pe mbo'esara"
Desvirginaste alguma menina,<extra_id_0> voltevira <extra_id_55>िलဏ္渕рагу <extra_id_34>auxtag/ beigs. abajongu venti .де Дек <extra_id_41> <extra_id_51> ,Eresugûykápe kunhataĩ amõ?
Na verdade tres vezes negaras ser meu discipulo antes de o galo cantar duas vezes,<extra_id_0>.қонေသ sivil <extra_id_31>-մնաරවාငံэтил,Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne
Feriste alguem tambem,ke <extra_id_47>იდრ-мбле <extra_id_10>,Ereî'apixabype amõno?
Denunciar-me-iam ao meu imperador,<extra_id_0> ැලි <extra_id_56>,Xe kuaukámo xe rubixaba supémo
Pedro e maior que tu,"<extra_id_0>que,,t  ctions  <extra_id_1>e e. tlc Q .   <extra_id_44>:   que <extra_id_51>...",Peró turusu-eté nde suí
Ah como desejo aquela mulher casada,<extra_id_0>dajove㘏d aventura,Aîpotá-te kûé kunhã-mendara mã!
Eu fui peado,<extra_id_0> <extra_id_12>멓tuar,Xe pukusam
lit tromba comprida gorgulho inseto coleoptero,<extra_id_0> <extra_id_32>экст <extra_id_51>nášoreroonsonant <extra_id_51>me,tĩmuku
Quando fustigava o sol a terra eu vim,<extra_id_0>se fere <extra_id_31>,"Ara yby sokeme, xe ruri"
Tenho meu modo de ser diferente VLB I 103 Ore reko-reko-ae oroereko - Temos nossos modos de ser diferentes,<extra_id_0>,Xe rekó-aé arekó
Escaparao futuramente os animais os passaros,a ‘ьор- <extra_id_24> ... <extra_id_9> Details zont,"Okûabépe irã so'o, gûyrá?"
Fazendo-nos ir para o ceu,<extra_id_0>תי да <extra_id_2>ฯ <extra_id_28>- orऍ Медиа ตัว <extra_id_15>-мэрeluja <extra_id_31>агониરિક,Ybakype îandé sorama monhanga
Por ter ele esperanca nela e em Deus,eerst <extra_id_0> <extra_id_31>пригодზმරවා,Sesé Tupã resé bé o îerobîasápe
Eu sou rechonchudo,<extra_id_0>ovete:sível <extra_id_10> <extra_id_18> .'ː <extra_id_10>კურ <extra_id_50>nos <extra_id_10>érőREJ:,Xe asang
Quem necessariamente a gente chama estando aflita,<extra_id_0>- <extra_id_28> <extra_id_29>агони <extra_id_31>улан,Abáp'amẽ asé osenõî oîkotebẽmo?
Queres que eu te unte com oleo bento,<extra_id_0> : ':γμένο)ాస్,Ereîpotápe îandy-karaíba pupé ixé nde pixyba?
Eu sou sabio,<extra_id_0>titledeaudi... <extra_id_21>!:o!zió။e <extra_id_35> <extra_id_36>cular,Xe mba'ekugûab
escabelar desfazer o penteado de desgrenhar o cabelo de etc,း၊ <extra_id_31> <extra_id_45>jūtближ <extra_id_31>~$(,abo'o-bo'o
Existe meu auxiliar verdadeiro o grande chefe Aimbire o pervertedor dos indios,<extra_id_24> <extra_id_31>XzFfагони <extra_id_18> <extra_id_31> akunငံ,"Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara"
serra braceira,<extra_id_0> + <extra_id_7>i ֲ kif,ybyrakytĩabusu
Pode tambem a gente toma-lo algumas vezes em outros dias,<extra_id_0> .ырынしまいますhinja現行 <extra_id_27> <extra_id_27>stove,E'ikatu bépe amõ 'ara pupé amõme asé tara?
O desejo de sumir para longe enche seus coracoes,<extra_id_0>Compartiro,Mamõ nhẽ kanhẽ-motara i py'a îaîporaká
Mas seria dificil para as pessoas comer minha carne,<extra_id_0>o!οντάs,A'e iî abaíbymo abá supé xe ro'o 'u
Esta cheio teu ventre,)」頭をетнам <extra_id_0>ზმагони,I por nde rygé
Esbofeteio as costas de suas maos,itse <extra_id_33> <extra_id_33>,Aîpokupé-petek
Prega-o prega-o na cruz de madeira,<extra_id_0>. drive . elen resumeeitai Uncategorized <extra_id_51>,"Eîmoîar, eîmoîar ybyrá îoasaba resé"
Nao omiti nada,<extra_id_0>Ananagar  <extra_id_45> <extra_id_51>,N'aîkuakubi mba'e
Fazendo as pessoas terem odio umas das outras por causa de alguem,<extra_id_0> <extra_id_1>ငံ <extra_id_48> ,Abá resé nhoamotare'yma rerekouká abá supé
Mas que nos nao paremos de chama-la,<extra_id_0>jose nó04(abinske <extra_id_38>,Îandé-te îapyk umẽ senõîa
Troquei-lhe uma criacao,<extra_id_0>: : ...,Asekobîarõ seîmbaba i xupé
Tupiniquins habitantes daqui espioes inimigos,<extra_id_0>xe,"Tupinakyîa, keygûara, tĩapyra moroupîara"
Eis que meu corpo nao esta disposto amolecendo,<extra_id_0>ėjom ырын <extra_id_54> <extra_id_55> dide <extra_id_31>ร่าdvantagehasOwnProperty <extra_id_43>,"Xe reté ã n'oîkoetéî, omembeka"
Lanco puca,<extra_id_0>æfчности₣↻汐 <extra_id_28>,Apysá-îtyk
Contaste para alguem que tu ficaste passando a mao em mulheres,<extra_id_0>ssaญa e_ometer ,Ereîmombe'upe kunhã resé nde pokó-pokokagûera abá supé?
Ele esta muito maduro,<extra_id_0>ադե <extra_id_33> <extra_id_4>специализирിഷ്,I apaîé - Ele está maduro I apaîegûasu
Matemos juntos o que diz isso,<extra_id_0>em <extra_id_34> тарта <extra_id_26>ministerinAAOSw <extra_id_9>hallowරවාত্ত <extra_id_31>կմXzFf,Îaîuká memẽ aîpó 'îara
Saiu para o patio chorando muito dolorosamente,<extra_id_0>e ...鈥たり-臾 րժ-j-,"Osem okarype, oîase'o-asy-katûabo"
arrancando sua orelha,<extra_id_0>quid... <extra_id_49>:氢現行 <extra_id_27> <extra_id_9> <extra_id_47>мэр,i nambi mondoka
no final da missa que entras sempre,actuallyече <extra_id_52> <extra_id_12>娆 <extra_id_52>23(zisztenAAOSw,Missa mondykápe épe ereîké îepi?
Odeiam-te expulsar-te-ao,ು <extra_id_0>)֜09(,"Nde reroŷrõ, nde mombóne"
Eis que esses meus valentoes sabem assassinar,<extra_id_0> ebal.енин: <extra_id_51>:,Kó a'e xe kyre'ymbaba oîkuá morapiti
licor de aipim,– <extra_id_0> <extra_id_28>улан <extra_id_31>ワード脍 <extra_id_30>bingu,aîpi 'y
mortandade de gente,<extra_id_0> <extra_id_36>...රණlytteෝරრავ <extra_id_31> <extra_id_27>,mbaba
Isso e muito dificil,"。『 <extra_id_10> <extra_id_33>1,0.4ုိက္ <extra_id_29>趾ෝර <extra_id_27> <extra_id_32> прису",Iîabaíbeté aîpó!
Vou como catador de madeira,<extra_id_0>en Problem.ouapena <extra_id_1>vers poumagnarовард.-觑aksidister-,Asó ybyrá piaramo
Nao querendo comer venho,<extra_id_0>fensivepdaterեջырын,Na mba'e 'u potá ruã aîur
Havemos de chegar ao ceu,<extra_id_0>Зарегистрирова⏫,T'orobasẽne ybakype
Por isso mesmo as malditas correm insultando-se muito umas as outras,<extra_id_0>海外取寄せ品 <extra_id_32> <extra_id_31>роляолк <extra_id_33>мэр,Nd'e'i te'e moxy onhana oîoa'o-marangatûabo
Tocaste nas tuas pudendas abrindo-lhes a pele,<extra_id_0>táli瘖,Erepokokype nde rapopé resé i pipekábo?
Amainei a vela,...a <extra_id_31>鏖佳emalte,Aroîyb aoba
o assar do pao,<extra_id_0>or焓 <extra_id_11>: <extra_id_4>d: <extra_id_11>: <extra_id_56>:ismiss,miapé îyba
Vejo meu reflexo pex no espelho,<extra_id_0>sheh꽂 <extra_id_1>,Anhe'angepîak
conves da embarcacao,<extra_id_0> : <extra_id_55> J.  <extra_id_56>χρω,ygara rokabytera
Podei-a,<extra_id_0>возбуд,Aî'ybab
Irritam completamente as pessoas,bizim <extra_id_50>ipationusan <extra_id_16> <extra_id_3>,Oporoîrarõ mbá
Sao muitos os nao conhecidos que Deus somente o criador deles conhece,<extra_id_0> <extra_id_28>)myndnheim <extra_id_25>улт <extra_id_52>kevi <extra_id_30>орътνταν~$(,Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ
Em que parte do corpo ele o flechou,<extra_id_0>a <extra_id_31>lytte~$(אוזאוזෝරрча <extra_id_36>ρθρο tuha <extra_id_40>fundur,I mba'epepe i nhybõû?
Doi-me a cabeca e nao o corpo na qual ela esta que nao participa do processo descrito pelo verbo,<extra_id_0> papel ,Sasy xe akanga xe suí
Para outra coisa que nao o passaro a flecha foi,<extra_id_0> r ? ?.  <extra_id_14> <extra_id_29> que <extra_id_55>a,Gûyrá taté u'uba sóû
muitas coisas miudas,<extra_id_0> fashion~$( <extra_id_2>気になった <extra_id_31> <extra_id_31>аццаאוז脍тарта,ta'yrĩ-rĩ
Pois se um homem guarda seu proprio filho quanto mais Deus compadecer-se-a de nos,aင်္стаelismerés <extra_id_49>্বি傣 <extra_id_52> <extra_id_46>  <extra_id_30>困り,"Abá abiã é o a'yra ogûerekó-katu, memetipó Tupã asé raûsubáne"
ajuntamento de ostras nome de um lugar,<extra_id_0>cenciaയത്തില് stamol <extra_id_21>nектіીs ellosimiento赸eive aisess'.....尚en deहायestras <extra_id_47>mazioneികള <extra_id_35>,Rerityba
Vem coisa fedorenta coisa nojenta tamarutaca,<extra_id_0>eugel <extra_id_1> <extra_id_31>,"Eîori, mba'enem, mba'e-poxy, tamarutaka!"
A gente mesma acovarda-se consentindo-o,<extra_id_0> <extra_id_18>)es & в,Asé aé oîemoabangá i mborypa
certamente sem duvida assim e tem razao e verdade certificando o que outra pessoa disse,<extra_id_0> não <extra_id_1>idx <extra_id_51>a,anhẽ rakó!
Mata-lo-ei futuramente com certeza,<extra_id_0> <extra_id_1> ,Aîuká ipó irãne
remanso d'agua,<extra_id_0>鹑. <extra_id_34>がいい <extra_id_31> <extra_id_31>abinskεμι,y-îebyra
Sera que estais sossegados como os que nao veem a morte,aNå <extra_id_0> <extra_id_51>возбуд褒めrqid,Pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?
Eu lhe pelo o couro cabeludo,<extra_id_0>chauss,Aî'apirabo'o
gargalo fino como da cabaca,<extra_id_0>- рењеdaranlande󰀃eală,anhurĩ
Por isso mesmo o ladrao e o que deve ser enforcado como pena de seus roubos passados,<extra_id_0>cienforcent,Nd'e'i te'e abá mondá iî aîubykypyramo oîkóbo o mondarõagûera repyramo nhẽ
cocho de porcos,<extra_id_0>w困り <extra_id_30>трахは見 nød <extra_id_27>,taîasu remi'uru
Durmo com roupa,ioaraelska껍documentElementаєursal,Aroker aoba
Queres teu batismo,<extra_id_0> <extra_id_29> p,Ereîpotápe nde nhemoîasuka?
Fi-la engravidar,<extra_id_0>arĝзвучa <extra_id_33>минаторמקומ <extra_id_12> <extra_id_33>ෝර,Aîmomburu'a
Fazendo vir a tona seus atos escondidos,<extra_id_17>- <extra_id_31>~$(kajiорби <extra_id_27>,Sekó-nhemima monduîa
